LEGEND,M = Music,T = Tech / Smart Home / DIY,F = Food & Cooking,C = Comedy,N = News,V = TV / Video,O = Other
,Leave cat blank to keep as unsure. Fill top ones first — sorted by play count.,,,,,,

cat,channel name,plays,videos,channel url
,DHMY-PRODUCTIONS,5,3,https://www.youtube.com/channel/UCuIsysAX5Drzoq_eDlsS1Bg
,Crosstalk Solutions,5,3,https://www.youtube.com/channel/UCVS6ejD9NLZvjsvhcbiDzjw
,Underworld,5,2,https://www.youtube.com/channel/UCL2yEhXEN6umpyZYJhX4e7g
,yoyoTech,5,2,https://www.youtube.com/channel/UCxrwkWUuAcpLPwovisO9cqw
,John - Mostly Magic Smoke,5,3,https://www.youtube.com/channel/UC5o7QIWzOvFsE612KGJ0EmA
,NSJ,5,1,https://www.youtube.com/channel/UClLon9s4QA_pAKnM-nwlOEg
,Toolroom Records,5,2,https://www.youtube.com/channel/UCpiZh3AGeTygzfmUgioOFFg
,Eats Everything,5,2,https://www.youtube.com/channel/UCT8A6Ji19y82hmcTE237SzA
,KEXP,5,3,https://www.youtube.com/channel/UC3I2GFN_F8WudD_2jUZbojA
,Chris Liepe,5,4,https://www.youtube.com/channel/UCatVlK-imF7H9o0RDGOYWAg
,The Funk Hunters,5,1,https://www.youtube.com/channel/UC_kS7zIRFtX61lLWDCA9Wsw
,Auguste Marshal,5,1,https://www.youtube.com/channel/UCiWLGffqWSXlNnfzp6YwwyQ
,EDM Bot,5,1,https://www.youtube.com/channel/UCvmUdL2NHWlj1NRiNJPI-TQ
,stance,5,5,https://www.youtube.com/channel/UCgiz3Pm3FBhDyy3g_fP5OVA
,A Mohican,5,1,https://www.youtube.com/channel/UCPFpNEp28z_BboonkESvawg
,TOPSIFY,5,1,https://www.youtube.com/channel/UCGJdzJQ3R1BpahSvcFq23HA
,ViralHog,5,5,https://www.youtube.com/channel/UC3339WgBDKIcxTfywuSmG8w
,Throne and Liberty,5,5,https://www.youtube.com/channel/UCQ9MaaCoL5VO0BHXZROBllQ
,Hometalk,5,5,https://www.youtube.com/channel/UCCqZ18V6706J1NJOIDCVgAQ
,Amirra Robertson,5,4,https://www.youtube.com/channel/UCariQmZCUNn3XpQom76k1IQ
,Active4KMusic,4,4,https://www.youtube.com/channel/UCtBVgS63sjNOba-Vp9CKPMA
,Technology Connections,4,3,https://www.youtube.com/channel/UCy0tKL1T7wFoYcxCe0xjN6Q
,Map Pack,4,3,https://www.youtube.com/channel/UCb0JxFSwHTzH0AEsAzQHV4w
,The Engineering Mindset,4,2,https://www.youtube.com/channel/UCk0fGHsCEzGig-rSzkfCjMw
,Music Vibe,4,1,https://www.youtube.com/channel/UCQ0mxTNoEhr9-GRP51mwOdQ
,Asa Park,4,2,https://www.youtube.com/channel/UCxs87BsBSzw8FC7IlvfQ5kA
,Julian Goldie SEO,4,2,https://www.youtube.com/channel/UCGpsgNbzdF7BECCVbB1COHw
,James Bond 007,4,2,https://www.youtube.com/channel/UCwTkM6CvIsYFaFiMKIKCqHw
,BOOM PULSE,4,2,https://www.youtube.com/channel/UCoD1ViJxGRK_u4T1WXI0nxw
,Benn Jordan,4,2,https://www.youtube.com/channel/UCshObcm-nLhbu8MY50EZ5Ng
,Dad Saves America,4,2,https://www.youtube.com/channel/UCVB6TzXJbxiSd0TiFSk5h-Q
,Pourya Kordi,4,1,https://www.youtube.com/channel/UCKT6d-xaBMxkZ1wjHpsmf0g
,Dylan Davis,4,2,https://www.youtube.com/channel/UCVzcPkOAnbnzOpJzOCDNHwQ
,AccuWeather,4,2,https://www.youtube.com/channel/UCuYqi3hOfz6-3Hdp6tEJjAg
,TWCDesign,4,2,https://www.youtube.com/channel/UC9bZy627A--NKLGtf9LnAJA
,Linking Your Thinking with Nick Milo,4,2,https://www.youtube.com/channel/UC85D7ERwhke7wVqskV_DZUA
,Ron Z,4,1,https://www.youtube.com/channel/UChBauN74FxRNNOeR_wpBA_w
,Heavy Metal Horizons,4,1,https://www.youtube.com/channel/UCZJVGkUR2iZo32xCBBwb0lQ
,Start Making (Woodworking),4,2,https://www.youtube.com/channel/UCBBmPZJumPKc1vYJuJT3YIA
,Spencley Design Co.,4,2,https://www.youtube.com/channel/UC4Xarmlw0RJ573ZgJO2b5GA
,Smart Home Ideas,4,1,https://www.youtube.com/channel/UCSQNbp_1b-9ZpTETCG8t-ig
,YouTube Movies,4,1,https://www.youtube.com/channel/UCe32OZT9DM73E7PkbGIyv7g
,Bear Mountain Builds,4,2,https://www.youtube.com/channel/UCFvz0E5-GOMZgsqM8fWgFdw
,Pro maker 101,4,1,https://www.youtube.com/channel/UCz7MNU869tyK-WQ2IaqkY_A
,smart home & more,4,1,https://www.youtube.com/channel/UCkwdS6Kc2yibIyjM04A0bFQ
,Eddy Burback,4,1,https://www.youtube.com/channel/UCuo9VyowIT-ljA5G2ZuC6Yw
,HBO Max,4,2,https://www.youtube.com/channel/UCx-KWLTKlB83hDI6UKECtJQ
,Michael Alm (ALM FAB),4,2,https://www.youtube.com/channel/UCFPi0bIn4Bc3Vkd9T-dKuzw
,Opto Video,4,2,https://www.youtube.com/channel/UCu4VaBjPynEA8mn9Gf2KKYQ
,Inventor New,4,2,https://www.youtube.com/channel/UC_jCDk-0r3PSnrcT78Ag4OQ
,DIY Machines,4,2,https://www.youtube.com/channel/UC3jc4X-kEq-dEDYhQ8QoYnQ
,Tommy Bianco,4,1,https://www.youtube.com/channel/UCG-b39Q7LY1v96_07BJi-iA
,The Verge,4,2,https://www.youtube.com/channel/UCddiUEpeqJcYeBxX1IVBKvQ
,Carl Bugeja,4,2,https://www.youtube.com/channel/UCdxTCCRnQgfi2vr2fZupYIQ
,Online Product Reviews,4,2,https://www.youtube.com/channel/UCTHYkLP05LlfFrWohUyW9Sw
,markusfuller,4,2,https://www.youtube.com/channel/UCx36Uxaf_LHo635bK6kSCPQ
,Painless360,4,2,https://www.youtube.com/channel/UCp1vASX-fg959vRc1xowqpw
,Albert Kim,4,2,https://www.youtube.com/channel/UCnJyFn_66GMfAbz1AW9MqbQ
,Канал ИДЕЙ,4,1,https://www.youtube.com/channel/UCbgT1Hrlxca2jjI-_3JbOMw
,DELOFHA SERVIS,4,2,https://www.youtube.com/channel/UCTHAyPdsbXPL8SYWB6uR2Qg
,i2c_jason,4,2,https://www.youtube.com/channel/UCXvRuXwVpLQSwcJVt0v4xIA
,The LabOtomy,4,2,https://www.youtube.com/channel/UC6tFEU5Koh7FudA4Juwzlbg
,Embrace Making,4,2,https://www.youtube.com/channel/UClPWZq1CXsdOE9GlD6qIcZA
,StanleyProjects,4,2,https://www.youtube.com/channel/UCx1xiWx0sUH85QdtcfkqU9w
,Mecharms,4,1,https://www.youtube.com/channel/UCbr5-H1b8s92cRtQwIhUjzA
,EE Wave,4,2,https://www.youtube.com/channel/UCN5yLMGFtk_6VfqGRK8PJNg
,Jas.Achieve,4,1,https://www.youtube.com/channel/UC7ZfMpng0JcoRqT8yBHcDhA
,Steven Bennett,4,2,https://www.youtube.com/channel/UCvnxvXWYcOlmhRFvZ_ISP8g
,Tech Craft,4,2,https://www.youtube.com/channel/UCT-GpMtIFhX9EMA0Eauevhw
,Crazy Couple DIY,4,1,https://www.youtube.com/channel/UCR0wao7J3htf9DjuVJ2uzUw
,Kimbra Fans Forever,4,1,https://www.youtube.com/channel/UC7I1E-mWCbuJZeqZtblA9_g
,Seun Moore,4,1,https://www.youtube.com/channel/UCqHzU4JCZscSssdRt6EgKEg
,allen's lab,4,1,https://www.youtube.com/channel/UCUVzyC4knaI7IHeMKyRaDYw
,Back to Yesterday,4,2,https://www.youtube.com/channel/UCuJBQl-_LZcFepZ_SFyhXbA
,Engineer Bo,4,2,https://www.youtube.com/channel/UCCZkc96h2dlElrfYmMWr8KQ
,Electromaker,4,2,https://www.youtube.com/channel/UCiMO2NHYWNiVTzyGsPYn4DA
,When Jekyll Meets Hyde,4,2,https://www.youtube.com/channel/UCeMCa3qUw-UUJ3GdmCojwQQ
,posoco2000,4,1,https://www.youtube.com/channel/UCDnV1K2HsIN3qleiZZNWe_g
,PettyYou007,4,2,https://www.youtube.com/channel/UCoQnGI2qd6AARaCn7rJt6Eg
,3DLEDCube,4,2,https://www.youtube.com/channel/UCYXCd8v9BsTUUoFVRJlSd-Q
,Brian Lough,4,2,https://www.youtube.com/channel/UCezJOfu7OtqGzd5xrP3q6WA
,GIGS,4,2,https://www.youtube.com/channel/UC2LSxCQoApZVmpWEBudCZlQ
,Zach of All Trades,4,1,https://www.youtube.com/channel/UCEE9G4bpqOYzB61yBS6-OiA
,Smart Solutions for Home,4,1,https://www.youtube.com/channel/UCtQpGuWY5sTUqrED4SgScVA
,coobird's lab,4,1,https://www.youtube.com/channel/UCLfqfSwlwSkSSjYXmSMiW7w
,Noel's Retro Lab,4,1,https://www.youtube.com/channel/UC2-SP1bYi3ueKlVU7I75wFw
,Electronic Wizard,4,2,https://www.youtube.com/channel/UC51ATLxoST0adWo5xdbfhAA
,Thaddeus Nemeroff,4,1,https://www.youtube.com/channel/UCS9m2reE3CpDBRR2Mwg7wrA
,HiTech Life,4,2,https://www.youtube.com/channel/UCrWFuz0BIrUGB42-2GGsqqA
,Fireship,4,2,https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA
,ElectrArc240,4,1,https://www.youtube.com/channel/UCPa1ivCpLcqP60OGqb9Yzqw
,DIY TechRush,4,2,https://www.youtube.com/channel/UCV50reu_f_tl3ZfKqCgPRsA
,DIY Light Lab,4,1,https://www.youtube.com/channel/UCFPVZLYxCERZSfV2PLK82tA
,ChasingSquirrels,4,1,https://www.youtube.com/channel/UCsBo0h1lBXxuLNK-IipInKw
,JohnsonHardware,4,2,https://www.youtube.com/channel/UC_dAXVWBBPusfRFOardJntg
,Electrical and plumbing,4,2,https://www.youtube.com/channel/UCaJWyeG-K7yV4YbYuO6ZONg
,Houseum,4,1,https://www.youtube.com/channel/UC58C_BhzlZIJTeomuVSD2lA
,Twinkle Tunes and Lighting,4,1,https://www.youtube.com/channel/UCp76QrlDOdOylTzoEJYBDgA
,wermy,4,1,https://www.youtube.com/channel/UCRP1Zx7B4b66ZwkB2Ov5pMw
,Circuit Specialists,4,2,https://www.youtube.com/channel/UCG87WTqDKIqA704uqjumJgg
,JD Kato,4,1,https://www.youtube.com/channel/UCFuxqQLiDsRs1P7pbNwlpxQ
,deadmau5,4,2,https://www.youtube.com/channel/UCYEK6xds6eo-3tr4xRdflmQ
,Ansong Ah,4,2,https://www.youtube.com/channel/UCz1gCX3WT5lAKTG_WstTlrQ
,IT Alchemy,4,1,https://www.youtube.com/channel/UCemWl-Ze7yowMdzV9Hv-Hmw
,Creative Techos,4,2,https://www.youtube.com/channel/UC1p1qP_RbxeDgU7lWdTG3GQ
,Solar Power Edge,4,2,https://www.youtube.com/channel/UCSNAOq33nv3Ifd6q3b6lKbg
,Let's Automate,4,2,https://www.youtube.com/channel/UCm-cVsRgJHChrEjeKENKJ-A
,make2explore Systems,4,2,https://www.youtube.com/channel/UCExl2gJoLV2owiayQ1Ny7HQ
,The Saucepan,4,1,https://www.youtube.com/channel/UCi4ICgG-nZApnC6jzIByH-A
,Mellow_Labs,4,2,https://www.youtube.com/channel/UCB2hQrqMYAmck2V5mvxfeIA
,Mitto YSR,4,1,https://www.youtube.com/channel/UCbYpT7E1N-OkVhaJABxidJw
,mariachi127,4,1,https://www.youtube.com/channel/UC3NuS07B4G6IAZKF6n2ddTA
,Carolina Eyck,4,2,https://www.youtube.com/channel/UCYkSWMBi1pZUqjs2OngjUyA
,JuanMTech,4,2,https://www.youtube.com/channel/UCR7Xa7cU9wfkSY9v3yN2Vtw
,YouTube Viewers,4,3,https://www.youtube.com/channel/UCMDQxm7cUx3yXkfeHa5zJIQ
,Letterman,4,2,https://www.youtube.com/channel/UCVUx0VcNxnHx7ZjuZK5Sthw
,Home RenoVision DIY,4,3,https://www.youtube.com/channel/UCnorhjQR4zJkT7AVNhu395Q
,laugh out loud flix,4,3,https://www.youtube.com/channel/UCeEAPJ6nDdFIg0FAEGY1dMg
,I Like To Make Stuff,4,3,https://www.youtube.com/channel/UC6x7GwJxuoABSosgVXDYtTw
,Aim To Head Official,4,2,https://www.youtube.com/channel/UC1KJEk-EZMmDF9DJKMK5OCQ
,Ritter Butzke,4,1,https://www.youtube.com/channel/UC6DcBdYEKTHtb4HVVwUMDxg
,Soul Sessions,4,1,https://www.youtube.com/channel/UC2fu2sg8qMd3hA3kn4mYlrQ
,Seismic Dance Event,4,1,https://www.youtube.com/channel/UC2iQ3op3Xar4TLX03oEmJYg
,Piano Superhuman Tutorials - Learn Piano Easy,4,4,https://www.youtube.com/channel/UCZdUoB_OStDSidFXp0DC9jw
,GZ 23 (Gorillaz Live Archive),4,2,https://www.youtube.com/channel/UCRe_AsG-qnfSWob6L-p0zXQ
,Unlock Wisdom,4,3,https://www.youtube.com/channel/UCNhcSOkx6vwqEPnslS6jWOg
