# category_review.txt
# Channels that could not be auto-categorized.
# Edit the last column, then save as channel_overrides.txt
# Valid categories: music | tv | tech | unsure | news | food | comedy | other
# May be abbreviated M, V, T, unsure, N, F, C, O
norm_name|raw_name|channel_url|total_plays|title_count|category
The Last Outpost Workshop|The Last Outpost Workshop|https://www.youtube.com/channel/UCnnU_HGvTr8ewpqvHe2llDw|12|5|T
Morley Kert|Morley Kert|https://www.youtube.com/channel/UCbtEd1MuY6gd2RpdWqkzXFw|12|5|unsure
atomic14|atomic14|https://www.youtube.com/channel/UC4Otk-uDioJN0tg6s1QO9lw|12|4|M
Gl0bal|Gl0bal|https://www.youtube.com/channel/UCPWZlSab4hsCFVG2txRV8KA|12|7|unsure
FastHowTo|FastHowTo|https://www.youtube.com/channel/UCysdfH8RHOGlZeFI18wcM8w|12|6|O
louis bertrand|louis bertrand|https://www.youtube.com/channel/UCP-oMAVJgzQNnc0c2lNecrQ|12|1|O
Keller Williams|Keller Williams|https://www.youtube.com/channel/UCDlujZcssCwV4P9XItrhC0A|12|4|M
Creation Hack|Creation Hack|https://www.youtube.com/channel/UCJuCmj6hoVZdPFg2OPxbXzQ|11|5|O
MyBritishComputerGuy|MyBritishComputerGuy|https://www.youtube.com/channel/UC-U5Ipa_S19kpWJRinu1FAA|11|3|T
Pretty Lights|Pretty Lights|https://www.youtube.com/channel/UCyNworDpSylZcjRNRWYljCg|11|4|T
Stevie2112Rush|Stevie2112Rush|https://www.youtube.com/channel/UC-jgu7qJ8AQksuWEs4DAI2w|11|1|M
Da’koda’s Gaming|Da’koda’s Gaming|https://www.youtube.com/channel/UCvkhPMXW94iFuRuiT4FU9zw|11|4|O
Makers Mashup|Makers Mashup|https://www.youtube.com/channel/UCevttltfkZ76jwqfV1vrRbQ|10|2|O
DIY Made Easy|DIY Made Easy|https://www.youtube.com/channel/UCVwd0pkp56rD64JtKOyqe8g|10|4|O
Lincoln St. Woodworks|Lincoln St. Woodworks|https://www.youtube.com/channel/UCqal-8AqDFpsYwZwxs4TaHg|10|5|O
Ezequiel Tech|Ezequiel Tech|https://www.youtube.com/channel/UC03ZPIiJk9lZqiGUhS0Nwmg|10|4|T
HillPhantom|HillPhantom|https://www.youtube.com/channel/UCw3y0e83qWcvVrjkmqS7ShQ|10|1|M
HackMakeMod|HackMakeMod|https://www.youtube.com/channel/UC9o6nWNu38SRdBYPlPcdTpA|10|5|T
Garage Tinkering|Garage Tinkering|https://www.youtube.com/channel/UCUC7_Xen2GrE9xb9BxH-q6g|10|5|T
Reed's Smart Home|Reed's Smart Home|https://www.youtube.com/channel/UCnvqF2-dOB9qo9EPDHRX9mg|10|4|T
Jeff Geerling|Jeff Geerling|https://www.youtube.com/channel/UCR-DXc1voovS8nhAvccRZhg|10|5|M
